# Data Conversion HSMC Reference Manual (1.0.0)

To,Direction,Location,I/O Standard,Reserved,Current Strength,Slew Rate,I/O Bank,VREF Group,Differential Pair
## Table. 2-10
ADA_D[0],Unknown,PIN_M28,,,,,6,B6_N2,
ADA_D[1],Unknown,PIN_M27,,,,,6,B6_N2,
ADA_D[2],Unknown,PIN_K28,,,,,6,B6_N1,
ADA_D[3],Unknown,PIN_K27,,,,,6,B6_N1,
ADA_D[4],Unknown,PIN_G28,,,,,6,B6_N1,
ADA_D[5],Unknown,PIN_G27,,,,,6,B6_N1,
ADA_D[6],Unknown,PIN_F28,,,,,6,B6_N1,
ADA_D[7],Unknown,PIN_F27,,,,,6,B6_N1,
ADA_D[8],Unknown,PIN_E28,,,,,6,B6_N1,
ADA_D[9],Unknown,PIN_E27,,,,,6,B6_N1,
ADA_D[10],Unknown,PIN_D28,,,,,6,B6_N0,
ADA_D[11],Unknown,PIN_D27,,,,,6,B6_N0,
ADA_D[12],Unknown,PIN_AE27,,,,,5,B5_N2,
ADA_D[13],Unknown,PIN_AE26,,,,,5,B5_N2,
ADA_OR,Unknown,PIN_K21,,,,,6,B6_N0,
# ADA_SPI_CS,Unknown,PIN_H23,,,,,6,B6_N0,
ADA_OE,Unknown,PIN_K22,,,,,6,B6_N0,
ADA_DCO,Unknown,PIN_Y27,,,,,5,B5_N0,
## Table. 2-11
# ADB_D[0],Unknown,PIN_K26,,,,,6,B6_N1,
# ADB_D[1],Unknown,PIN_K25,,,,,6,B6_N1,
# ADB_D[2],Unknown,PIN_H26,,,,,6,B6_N1,
# ADB_D[3],Unknown,PIN_H25,,,,,6,B6_N1,
# ADB_D[4],Unknown,PIN_G26,,,,,6,B6_N0,
# ADB_D[5],Unknown,PIN_G25,,,,,6,B6_N0,
# ADB_D[6],Unknown,PIN_E26,,,,,6,B6_N1,
# ADB_D[7],Unknown,PIN_F26,,,,,6,B6_N1,
# ADB_D[8],Unknown,PIN_C27,,,,,6,B6_N0,
# ADB_D[9],Unknown,PIN_D26,,,,,6,B6_N0,
# ADB_D[10],Unknown,PIN_F25,,,,,6,B6_N0,
# ADB_D[11],Unknown,PIN_F24,,,,,6,B6_N0,
# ADB_D[12],Unknown,PIN_AF27,,,,,5,B5_N2,
# ADB_D[13],Unknown,PIN_AE28,,,,,5,B5_N2,
# ADB_OR,Unknown,PIN_L23,,,,,6,B6_N1,
# ADB_SPI_CS,Unknown,PIN_M25,,,,,6,B6_N2,
# ADB_OE,Unknown,PIN_L24,,,,,6,B6_N2,
# ADB_DCO,Unknown,PIN_Y28,,,,,5,B5_N0,
## Table. 2-12, Table. 2-15
FPGA_CLK_A_P,Unknown,PIN_G23,,,,,6,B6_N0,
FPGA_CLK_A_N,Unknown,PIN_G24,,,,,6,B6_N0,
FPGA_CLK_B_P,Unknown,PIN_V23,,,,,5,B5_N1,
FPGA_CLK_B_N,Unknown,PIN_V24,,,,,5,B5_N1,
# XT_IN_P,Unknown,PIN_J27,,,,,6,B6_N2,
# XT_IN_N,Unknown,PIN_J28,,,,,6,B6_N2,
## Table. 2-14
DA[0],Unknown,PIN_U28,,,,,5,B5_N0,
DA[1],Unknown,PIN_U27,,,,,5,B5_N0,
DA[2],Unknown,PIN_R28,,,,,5,B5_N0,
DA[3],Unknown,PIN_R27,,,,,5,B5_N0,
DA[4],Unknown,PIN_V26,,,,,5,B5_N1,
DA[5],Unknown,PIN_V25,,,,,5,B5_N1,
DA[6],Unknown,PIN_L28,,,,,6,B6_N2,
DA[7],Unknown,PIN_L27,,,,,6,B6_N2,
DA[8],Unknown,PIN_J26,,,,,6,B6_N1,
DA[9],Unknown,PIN_J25,,,,,6,B6_N1,
DA[10],Unknown,PIN_P28,,,,,6,B6_N2,
DA[11],Unknown,PIN_P27,,,,,6,B6_N2,
DA[12],Unknown,PIN_J24,,,,,6,B6_N0,
DA[13],Unknown,PIN_J23,,,,,6,B6_N0,
# DB[0],Unknown,PIN_R21,,,,,5,B5_N0,
# DB[1],Unknown,PIN_P21,,,,,5,B5_N0,
# DB[2],Unknown,PIN_P26,,,,,6,B6_N2,
# DB[3],Unknown,PIN_P25,,,,,6,B6_N2,
# DB[4],Unknown,PIN_N26,,,,,6,B6_N2,
# DB[5],Unknown,PIN_N25,,,,,6,B6_N2,
# DB[6],Unknown,PIN_L22,,,,,6,B6_N0,
# DB[7],Unknown,PIN_L21,,,,,6,B6_N0,
# DB[8],Unknown,PIN_U26,,,,,5,B5_N0,
# DB[9],Unknown,PIN_U25,,,,,5,B5_N0,
# DB[10],Unknown,PIN_T26,,,,,5,B5_N0,
# DB[11],Unknown,PIN_T25,,,,,5,B5_N0,
# DB[12],Unknown,PIN_R26,,,,,5,B5_N0,
# DB[13],Unknown,PIN_R25,,,,,5,B5_N0,
## Table. 2-17
# AIC_XCLK,Unknown,PIN_T21,,,,,5,B5_N0,
# AIC_LRCOUT,Unknown,PIN_R23,,,,,5,B5_N0,
# AIC_LRCIN,Unknown,PIN_V28,,,,,5,B5_N1,
# AIC_DIN,Unknown,PIN_V27,,,,,5,B5_N1,
# AIC_DOUT,Unknown,PIN_R22,,,,,5,B5_N0,
# AIC_SPI_CS,Unknown,PIN_V22,,,,,5,B5_N1,
# AIC_BCLK,Unknown,PIN_U22,,,,,5,B5_N0,
## Table. 2-10 + Table. 2-11 + Table. 2-17
# AD_SDIO,Unknown,PIN_H24,,,,,6,B6_N0,
# AD_SCLK,Unknown,PIN_M26,,,,,6,B6_N2,
## Unknown
# J1_152,Unknown,PIN_T22,,,,,5,B5_N0,
