To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
DRAM_ADDR[0],Unknown,PIN_R6,2,B2_N0,3.3-V LVTTL,,,,
DRAM_ADDR[1],Unknown,PIN_V8,2,B2_N1,3.3-V LVTTL,,,,
DRAM_ADDR[2],Unknown,PIN_U8,2,B2_N1,3.3-V LVTTL,,,,
DRAM_ADDR[3],Unknown,PIN_P1,1,B1_N2,3.3-V LVTTL,,,,
DRAM_ADDR[4],Unknown,PIN_V5,2,B2_N1,3.3-V LVTTL,,,,
DRAM_ADDR[5],Unknown,PIN_W8,2,B2_N2,3.3-V LVTTL,,,,
DRAM_ADDR[6],Unknown,PIN_W7,2,B2_N2,3.3-V LVTTL,,,,
DRAM_ADDR[7],Unknown,PIN_AA7,2,B2_N2,3.3-V LVTTL,,,,
DRAM_ADDR[8],Unknown,PIN_Y5,2,B2_N2,3.3-V LVTTL,,,,
DRAM_ADDR[9],Unknown,PIN_Y6,2,B2_N2,3.3-V LVTTL,,,,
DRAM_ADDR[10],Unknown,PIN_R5,2,B2_N0,3.3-V LVTTL,,,,
DRAM_ADDR[11],Unknown,PIN_AA5,2,B2_N2,3.3-V LVTTL,,,,
DRAM_ADDR[12],Unknown,PIN_Y7,2,B2_N2,3.3-V LVTTL,,,,
DRAM_DQ[0],Unknown,PIN_W3,2,B2_N2,3.3-V LVTTL,,,,
DRAM_DQ[1],Unknown,PIN_W2,2,B2_N0,3.3-V LVTTL,,,,
DRAM_DQ[2],Unknown,PIN_V4,2,B2_N0,3.3-V LVTTL,,,,
DRAM_DQ[3],Unknown,PIN_W1,2,B2_N1,3.3-V LVTTL,,,,
DRAM_DQ[4],Unknown,PIN_V3,2,B2_N0,3.3-V LVTTL,,,,
DRAM_DQ[5],Unknown,PIN_V2,2,B2_N0,3.3-V LVTTL,,,,
DRAM_DQ[6],Unknown,PIN_V1,2,B2_N0,3.3-V LVTTL,,,,
DRAM_DQ[7],Unknown,PIN_U3,2,B2_N0,3.3-V LVTTL,,,,
DRAM_DQ[8],Unknown,PIN_Y3,2,B2_N1,3.3-V LVTTL,,,,
DRAM_DQ[9],Unknown,PIN_Y4,2,B2_N1,3.3-V LVTTL,,,,
DRAM_DQ[10],Unknown,PIN_AB1,2,B2_N0,3.3-V LVTTL,,,,
DRAM_DQ[11],Unknown,PIN_AA3,2,B2_N1,3.3-V LVTTL,,,,
DRAM_DQ[12],Unknown,PIN_AB2,2,B2_N0,3.3-V LVTTL,,,,
DRAM_DQ[13],Unknown,PIN_AC1,2,B2_N1,3.3-V LVTTL,,,,
DRAM_DQ[14],Unknown,PIN_AB3,2,B2_N1,3.3-V LVTTL,,,,
DRAM_DQ[15],Unknown,PIN_AC2,2,B2_N1,3.3-V LVTTL,,,,
DRAM_DQ[16],Unknown,PIN_M8,1,B1_N2,3.3-V LVTTL,,,,
DRAM_DQ[17],Unknown,PIN_L8,1,B1_N2,3.3-V LVTTL,,,,
DRAM_DQ[18],Unknown,PIN_P2,1,B1_N2,3.3-V LVTTL,,,,
DRAM_DQ[19],Unknown,PIN_N3,1,B1_N2,3.3-V LVTTL,,,,
DRAM_DQ[20],Unknown,PIN_N4,1,B1_N2,3.3-V LVTTL,,,,
DRAM_DQ[21],Unknown,PIN_M4,1,B1_N1,3.3-V LVTTL,,,,
DRAM_DQ[22],Unknown,PIN_M7,1,B1_N2,3.3-V LVTTL,,,,
DRAM_DQ[23],Unknown,PIN_L7,1,B1_N2,3.3-V LVTTL,,,,
DRAM_DQ[24],Unknown,PIN_U5,2,B2_N1,3.3-V LVTTL,,,,
DRAM_DQ[25],Unknown,PIN_R7,2,B2_N0,3.3-V LVTTL,,,,
DRAM_DQ[26],Unknown,PIN_R1,2,B2_N0,3.3-V LVTTL,,,,
DRAM_DQ[27],Unknown,PIN_R2,2,B2_N0,3.3-V LVTTL,,,,
DRAM_DQ[28],Unknown,PIN_R3,2,B2_N0,3.3-V LVTTL,,,,
DRAM_DQ[29],Unknown,PIN_T3,2,B2_N0,3.3-V LVTTL,,,,
DRAM_DQ[30],Unknown,PIN_U4,2,B2_N0,3.3-V LVTTL,,,,
DRAM_DQ[31],Unknown,PIN_U1,2,B2_N0,3.3-V LVTTL,,,,
DRAM_BA[0],Unknown,PIN_U7,2,B2_N1,3.3-V LVTTL,,,,
DRAM_BA[1],Unknown,PIN_R4,2,B2_N0,3.3-V LVTTL,,,,
DRAM_DQM[0],Unknown,PIN_U2,2,B2_N0,3.3-V LVTTL,,,,
DRAM_DQM[1],Unknown,PIN_W4,2,B2_N2,3.3-V LVTTL,,,,
DRAM_DQM[2],Unknown,PIN_K8,1,B1_N2,3.3-V LVTTL,,,,
DRAM_DQM[3],Unknown,PIN_N8,1,B1_N2,3.3-V LVTTL,,,,
DRAM_RAS_N,Unknown,PIN_U6,2,B2_N1,3.3-V LVTTL,,,,
DRAM_CAS_N,Unknown,PIN_V7,2,B2_N1,3.3-V LVTTL,,,,
DRAM_CKE,Unknown,PIN_AA6,2,B2_N2,3.3-V LVTTL,,,,
DRAM_CLK,Unknown,PIN_AE5,3,B3_N2,3.3-V LVTTL,,,,
DRAM_WE_N,Unknown,PIN_V6,2,B2_N1,3.3-V LVTTL,,,,
DRAM_CS_N,Unknown,PIN_T4,2,B2_N0,3.3-V LVTTL,,,,
