To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
ENET1_GTX_CLK,Unknown,PIN_C23,7,B7_N0,2.5 V,,,,
ENET1_INT_N,Unknown,PIN_D24,7,B7_N0,2.5 V,,,,
ENET1_LINK100,Unknown,PIN_D13,8,B8_N0,3.3-V LVTTL,,,,
ENET1_MDC,Unknown,PIN_D23,7,B7_N0,2.5 V,,,,
ENET1_MDIO,Unknown,PIN_D25,7,B7_N0,2.5 V,,,,
ENET1_RST_N,Unknown,PIN_D22,7,B7_N0,2.5 V,,,,
ENET1_RX_CLK,Unknown,PIN_B15,7,B7_N2,2.5 V,,,,
ENET1_RX_COL,Unknown,PIN_B22,7,B7_N1,2.5 V,,,,
ENET1_RX_CRS,Unknown,PIN_D20,7,B7_N1,2.5 V,,,,
ENET1_RX_DATA[0],Unknown,PIN_B23,7,B7_N0,2.5 V,,,,
ENET1_RX_DATA[1],Unknown,PIN_C21,7,B7_N0,2.5 V,,,,
ENET1_RX_DATA[2],Unknown,PIN_A23,7,B7_N0,2.5 V,,,,
ENET1_RX_DATA[3],Unknown,PIN_D21,7,B7_N0,2.5 V,,,,
ENET1_RX_DV,Unknown,PIN_A22,7,B7_N1,2.5 V,,,,
ENET1_RX_ER,Unknown,PIN_C24,7,B7_N0,2.5 V,,,,
ENET1_TX_CLK,Unknown,PIN_C22,7,B7_N0,2.5 V,,,,
ENET1_TX_DATA[0],Unknown,PIN_C25,7,B7_N0,2.5 V,,,,
ENET1_TX_DATA[1],Unknown,PIN_A26,7,B7_N0,2.5 V,,,,
ENET1_TX_DATA[2],Unknown,PIN_B26,7,B7_N0,2.5 V,,,,
ENET1_TX_DATA[3],Unknown,PIN_C26,7,B7_N0,2.5 V,,,,
ENET1_TX_EN,Unknown,PIN_B25,7,B7_N0,2.5 V,,,,
ENET1_TX_ER,Unknown,PIN_A25,7,B7_N0,2.5 V,,,,
ENETCLK_25,Unknown,PIN_A14,8,B8_N0,3.3-V LVTTL,,,,
