To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
FL_ADDR[0],Unknown,PIN_AG12,3,B3_N0,3.3-V LVTTL,,,,
FL_ADDR[1],Unknown,PIN_AH7,3,B3_N1,3.3-V LVTTL,,,,
FL_ADDR[2],Unknown,PIN_Y13,3,B3_N0,3.3-V LVTTL,,,,
FL_ADDR[3],Unknown,PIN_Y14,3,B3_N0,3.3-V LVTTL,,,,
FL_ADDR[4],Unknown,PIN_Y12,3,B3_N0,3.3-V LVTTL,,,,
FL_ADDR[5],Unknown,PIN_AA13,3,B3_N0,3.3-V LVTTL,,,,
FL_ADDR[6],Unknown,PIN_AA12,3,B3_N0,3.3-V LVTTL,,,,
FL_ADDR[7],Unknown,PIN_AB13,3,B3_N0,3.3-V LVTTL,,,,
FL_ADDR[8],Unknown,PIN_AB12,3,B3_N0,3.3-V LVTTL,,,,
FL_ADDR[9],Unknown,PIN_AB10,3,B3_N1,3.3-V LVTTL,,,,
FL_ADDR[10],Unknown,PIN_AE9,3,B3_N1,3.3-V LVTTL,,,,
FL_ADDR[11],Unknown,PIN_AF9,3,B3_N1,3.3-V LVTTL,,,,
FL_ADDR[12],Unknown,PIN_AA10,3,B3_N1,3.3-V LVTTL,,,,
FL_ADDR[13],Unknown,PIN_AD8,3,B3_N2,3.3-V LVTTL,,,,
FL_ADDR[14],Unknown,PIN_AC8,3,B3_N1,3.3-V LVTTL,,,,
FL_ADDR[15],Unknown,PIN_Y10,3,B3_N2,3.3-V LVTTL,,,,
FL_ADDR[16],Unknown,PIN_AA8,3,B3_N1,3.3-V LVTTL,,,,
FL_ADDR[17],Unknown,PIN_AH12,3,B3_N0,3.3-V LVTTL,,,,
FL_ADDR[18],Unknown,PIN_AC12,3,B3_N0,3.3-V LVTTL,,,,
FL_ADDR[19],Unknown,PIN_AD12,3,B3_N0,3.3-V LVTTL,,,,
FL_ADDR[20],Unknown,PIN_AE10,3,B3_N1,3.3-V LVTTL,,,,
FL_ADDR[21],Unknown,PIN_AD10,3,B3_N2,3.3-V LVTTL,,,,
FL_ADDR[22],Unknown,PIN_AD11,3,B3_N0,3.3-V LVTTL,,,,
FL_DQ[0],Unknown,PIN_AH8,3,B3_N1,3.3-V LVTTL,,,,
FL_DQ[1],Unknown,PIN_AF10,3,B3_N1,3.3-V LVTTL,,,,
FL_DQ[2],Unknown,PIN_AG10,3,B3_N1,3.3-V LVTTL,,,,
FL_DQ[3],Unknown,PIN_AH10,3,B3_N1,3.3-V LVTTL,,,,
FL_DQ[4],Unknown,PIN_AF11,3,B3_N1,3.3-V LVTTL,,,,
FL_DQ[5],Unknown,PIN_AG11,3,B3_N0,3.3-V LVTTL,,,,
FL_DQ[6],Unknown,PIN_AH11,3,B3_N0,3.3-V LVTTL,,,,
FL_DQ[7],Unknown,PIN_AF12,3,B3_N1,3.3-V LVTTL,,,,
FL_CE_N,Unknown,PIN_AG7,3,B3_N2,3.3-V LVTTL,,,,
FL_OE_N,Unknown,PIN_AG8,3,B3_N1,3.3-V LVTTL,,,,
FL_RST_N,Unknown,PIN_AE11,3,B3_N1,3.3-V LVTTL,,,,
# FL_RY,Unknown,PIN_Y1,2,B2_N0,3.3-V LVTTL,,,,
FL_WE_N,Unknown,PIN_AC10,3,B3_N0,3.3-V LVTTL,,,,
FL_WP_N,Unknown,PIN_AE12,3,B3_N1,3.3-V LVTTL,,,,
