To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
GPIO[0],Unknown,PIN_AB22,4,B4_N0,3.3-V LVTTL,,,,
GPIO[1],Unknown,PIN_AC15,4,B4_N2,3.3-V LVTTL,,,,
GPIO[2],Unknown,PIN_AB21,4,B4_N0,3.3-V LVTTL,,,,
GPIO[3],Unknown,PIN_Y17,4,B4_N0,3.3-V LVTTL,,,,
GPIO[4],Unknown,PIN_AC21,4,B4_N0,3.3-V LVTTL,,,,
GPIO[5],Unknown,PIN_Y16,4,B4_N0,3.3-V LVTTL,,,,
GPIO[6],Unknown,PIN_AD21,4,B4_N0,3.3-V LVTTL,,,,
GPIO[7],Unknown,PIN_AE16,4,B4_N2,3.3-V LVTTL,,,,
GPIO[8],Unknown,PIN_AD15,4,B4_N2,3.3-V LVTTL,,,,
GPIO[9],Unknown,PIN_AE15,4,B4_N2,3.3-V LVTTL,,,,
GPIO[10],Unknown,PIN_AC19,4,B4_N0,3.3-V LVTTL,,,,
GPIO[11],Unknown,PIN_AF16,4,B4_N2,3.3-V LVTTL,,,,
GPIO[12],Unknown,PIN_AD19,4,B4_N0,3.3-V LVTTL,,,,
GPIO[13],Unknown,PIN_AF15,4,B4_N2,3.3-V LVTTL,,,,
GPIO[14],Unknown,PIN_AF24,4,B4_N1,3.3-V LVTTL,,,,
GPIO[15],Unknown,PIN_AE21,4,B4_N1,3.3-V LVTTL,,,,
GPIO[16],Unknown,PIN_AF25,4,B4_N1,3.3-V LVTTL,,,,
GPIO[17],Unknown,PIN_AC22,4,B4_N0,3.3-V LVTTL,,,,
GPIO[18],Unknown,PIN_AE22,4,B4_N0,3.3-V LVTTL,,,,
GPIO[19],Unknown,PIN_AF21,4,B4_N1,3.3-V LVTTL,,,,
GPIO[20],Unknown,PIN_AF22,4,B4_N0,3.3-V LVTTL,,,,
GPIO[21],Unknown,PIN_AD22,4,B4_N0,3.3-V LVTTL,,,,
GPIO[22],Unknown,PIN_AG25,4,B4_N1,3.3-V LVTTL,,,,
GPIO[23],Unknown,PIN_AD25,4,B4_N0,3.3-V LVTTL,,,,
GPIO[24],Unknown,PIN_AH25,4,B4_N1,3.3-V LVTTL,,,,
GPIO[25],Unknown,PIN_AE25,4,B4_N1,3.3-V LVTTL,,,,
GPIO[26],Unknown,PIN_AG22,4,B4_N1,3.3-V LVTTL,,,,
GPIO[27],Unknown,PIN_AE24,4,B4_N0,3.3-V LVTTL,,,,
GPIO[28],Unknown,PIN_AH22,4,B4_N1,3.3-V LVTTL,,,,
GPIO[29],Unknown,PIN_AF26,4,B4_N1,3.3-V LVTTL,,,,
GPIO[30],Unknown,PIN_AE20,4,B4_N1,3.3-V LVTTL,,,,
GPIO[31],Unknown,PIN_AG23,4,B4_N1,3.3-V LVTTL,,,,
GPIO[32],Unknown,PIN_AF20,4,B4_N1,3.3-V LVTTL,,,,
GPIO[33],Unknown,PIN_AH26,4,B4_N0,3.3-V LVTTL,,,,
GPIO[34],Unknown,PIN_AH23,4,B4_N1,3.3-V LVTTL,,,,
GPIO[35],Unknown,PIN_AG26,4,B4_N0,3.3-V LVTTL,,,,
