To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
# CLKIN1
# HSMC_CLKIN0,Unknown,PIN_AH15,4,B4_N2,3.0-V LVTTL,,,,
# XT_IN_N
HSMC_CLKIN_N1,Unknown,PIN_J28,6,B6_N2,LVDS,,,,HSMC_CLKIN_P1
HSMC_CLKIN_N2,Unknown,PIN_Y28,5,B5_N0,LVDS,,,,HSMC_CLKIN_P2
# XT_IN_P
HSMC_CLKIN_P1,Unknown,PIN_J27,6,B6_N2,LVDS,,,,HSMC_CLKIN_N1
HSMC_CLKIN_P2,Unknown,PIN_Y27,5,B5_N0,LVDS,,,,HSMC_CLKIN_N2
# CLKOUT0
HSMC_CLKOUT0,Unknown,PIN_AD28,5,B5_N2,2.5 V,,,,
HSMC_CLKOUT_N1,Unknown,PIN_G24,6,B6_N0,LVDS,,,,HSMC_CLKOUT_P1
HSMC_CLKOUT_N2,Unknown,PIN_V24,5,B5_N1,LVDS,,,,HSMC_CLKOUT_P2
HSMC_CLKOUT_P1,Unknown,PIN_G23,6,B6_N0,LVDS,,,,HSMC_CLKOUT_N1
HSMC_CLKOUT_P2,Unknown,PIN_V23,5,B5_N1,LVDS,,,,HSMC_CLKOUT_N2
HSMC_D[0],Unknown,PIN_AE26,5,B5_N2,2.5 V,,,,
HSMC_D[1],Unknown,PIN_AE28,5,B5_N2,2.5 V,,,,
HSMC_D[2],Unknown,PIN_AE27,5,B5_N2,2.5 V,,,,
HSMC_D[3],Unknown,PIN_AF27,5,B5_N2,2.5 V,,,,
HSMC_RX_D_N[0],Unknown,PIN_F25,6,B6_N0,LVDS,,,,HSMC_RX_D_P[0]
HSMC_RX_D_N[1],Unknown,PIN_C27,6,B6_N0,LVDS,,,,HSMC_RX_D_P[1]
HSMC_RX_D_N[2],Unknown,PIN_E26,6,B6_N1,LVDS,,,,HSMC_RX_D_P[2]
HSMC_RX_D_N[3],Unknown,PIN_G26,6,B6_N0,LVDS,,,,HSMC_RX_D_P[3]
HSMC_RX_D_N[4],Unknown,PIN_H26,6,B6_N1,LVDS,,,,HSMC_RX_D_P[4]
HSMC_RX_D_N[5],Unknown,PIN_K26,6,B6_N1,LVDS,,,,HSMC_RX_D_P[5]
HSMC_RX_D_N[6],Unknown,PIN_L24,6,B6_N2,LVDS,,,,HSMC_RX_D_P[6]
# AD_SCLK
HSMC_RX_D_N[7],Unknown,PIN_M26,6,B6_N2,LVDS,,,,HSMC_RX_D_P[7]
HSMC_RX_D_N[8],Unknown,PIN_R26,5,B5_N0,LVDS,,,,HSMC_RX_D_P[8]
HSMC_RX_D_N[9],Unknown,PIN_T26,5,B5_N0,LVDS,,,,HSMC_RX_D_P[9]
HSMC_RX_D_N[10],Unknown,PIN_U26,5,B5_N0,LVDS,,,,HSMC_RX_D_P[10]
HSMC_RX_D_N[11],Unknown,PIN_L22,6,B6_N0,LVDS,,,,HSMC_RX_D_P[11]
HSMC_RX_D_N[12],Unknown,PIN_N26,6,B6_N2,LVDS,,,,HSMC_RX_D_P[12]
HSMC_RX_D_N[13],Unknown,PIN_P26,6,B6_N2,LVDS,,,,HSMC_RX_D_P[13]
HSMC_RX_D_N[14],Unknown,PIN_R21,5,B5_N0,LVDS,,,,HSMC_RX_D_P[14]
# AIC_LRCOUT
HSMC_RX_D_N[15],Unknown,PIN_R23,5,B5_N0,LVDS,,,,HSMC_RX_D_P[15]
# J1_152
HSMC_RX_D_N[16],Unknown,PIN_T22,5,B5_N0,LVDS,,,,HSMC_RX_D_P[16]
HSMC_RX_D_P[0],Unknown,PIN_F24,6,B6_N0,LVDS,,,,HSMC_RX_D_N[0]
HSMC_RX_D_P[1],Unknown,PIN_D26,6,B6_N0,LVDS,,,,HSMC_RX_D_N[1]
HSMC_RX_D_P[2],Unknown,PIN_F26,6,B6_N1,LVDS,,,,HSMC_RX_D_N[2]
HSMC_RX_D_P[3],Unknown,PIN_G25,6,B6_N0,LVDS,,,,HSMC_RX_D_N[3]
HSMC_RX_D_P[4],Unknown,PIN_H25,6,B6_N1,LVDS,,,,HSMC_RX_D_N[4]
HSMC_RX_D_P[5],Unknown,PIN_K25,6,B6_N1,LVDS,,,,HSMC_RX_D_N[5]
HSMC_RX_D_P[6],Unknown,PIN_L23,6,B6_N1,LVDS,,,,HSMC_RX_D_N[6]
HSMC_RX_D_P[7],Unknown,PIN_M25,6,B6_N2,LVDS,,,,HSMC_RX_D_N[7]
