To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
LCD_DATA[0],Unknown,PIN_L3,1,B1_N1,3.3-V LVTTL,,,,
LCD_DATA[1],Unknown,PIN_L1,1,B1_N2,3.3-V LVTTL,,,,
LCD_DATA[2],Unknown,PIN_L2,1,B1_N2,3.3-V LVTTL,,,,
LCD_DATA[3],Unknown,PIN_K7,1,B1_N1,3.3-V LVTTL,,,,
LCD_DATA[4],Unknown,PIN_K1,1,B1_N1,3.3-V LVTTL,,,,
LCD_DATA[5],Unknown,PIN_K2,1,B1_N1,3.3-V LVTTL,,,,
LCD_DATA[6],Unknown,PIN_M3,1,B1_N1,3.3-V LVTTL,,,,
LCD_DATA[7],Unknown,PIN_M5,1,B1_N2,3.3-V LVTTL,,,,
LCD_EN,Unknown,PIN_L4,1,B1_N1,3.3-V LVTTL,,,,
LCD_RW,Unknown,PIN_M1,1,B1_N2,3.3-V LVTTL,,,,
LCD_RS,Unknown,PIN_M2,1,B1_N2,3.3-V LVTTL,,,,
LCD_ON,Unknown,PIN_L5,1,B1_N1,3.3-V LVTTL,,,,
# LCD_BLON,Unknown,PIN_L6,1,B1_N2,3.3-V LVTTL,,,,
