To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
LEDR[0],Unknown,PIN_G19,7,B7_N2,2.5 V,,,,
LEDR[1],Unknown,PIN_F19,7,B7_N0,2.5 V,,,,
LEDR[2],Unknown,PIN_E19,7,B7_N0,2.5 V,,,,
LEDR[3],Unknown,PIN_F21,7,B7_N0,2.5 V,,,,
LEDR[4],Unknown,PIN_F18,7,B7_N1,2.5 V,,,,
LEDR[5],Unknown,PIN_E18,7,B7_N1,2.5 V,,,,
LEDR[6],Unknown,PIN_J19,7,B7_N2,2.5 V,,,,
LEDR[7],Unknown,PIN_H19,7,B7_N2,2.5 V,,,,
LEDR[8],Unknown,PIN_J17,7,B7_N2,2.5 V,,,,
LEDR[9],Unknown,PIN_G17,7,B7_N1,2.5 V,,,,
LEDR[10],Unknown,PIN_J15,7,B7_N2,2.5 V,,,,
LEDR[11],Unknown,PIN_H16,7,B7_N2,2.5 V,,,,
LEDR[12],Unknown,PIN_J16,7,B7_N2,2.5 V,,,,
LEDR[13],Unknown,PIN_H17,7,B7_N2,2.5 V,,,,
LEDR[14],Unknown,PIN_F15,7,B7_N2,2.5 V,,,,
LEDR[15],Unknown,PIN_G15,7,B7_N2,2.5 V,,,,
LEDR[16],Unknown,PIN_G16,7,B7_N2,2.5 V,,,,
LEDR[17],Unknown,PIN_H15,7,B7_N2,2.5 V,,,,
