To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
OTG_ADDR[0],Unknown,PIN_H7,1,B1_N0,3.3-V LVTTL,,,,
OTG_ADDR[1],Unknown,PIN_C3,8,B8_N2,3.3-V LVTTL,,,,
OTG_DATA[0],Unknown,PIN_J6,1,B1_N1,3.3-V LVTTL,,,,
OTG_DATA[1],Unknown,PIN_K4,1,B1_N1,3.3-V LVTTL,,,,
OTG_DATA[2],Unknown,PIN_J5,1,B1_N1,3.3-V LVTTL,,,,
OTG_DATA[3],Unknown,PIN_K3,1,B1_N1,3.3-V LVTTL,,,,
OTG_DATA[4],Unknown,PIN_J4,1,B1_N1,3.3-V LVTTL,,,,
OTG_DATA[5],Unknown,PIN_J3,1,B1_N1,3.3-V LVTTL,,,,
OTG_DATA[6],Unknown,PIN_J7,1,B1_N1,3.3-V LVTTL,,,,
OTG_DATA[7],Unknown,PIN_H6,1,B1_N0,3.3-V LVTTL,,,,
OTG_DATA[8],Unknown,PIN_H3,1,B1_N0,3.3-V LVTTL,,,,
OTG_DATA[9],Unknown,PIN_H4,1,B1_N0,3.3-V LVTTL,,,,
OTG_DATA[10],Unknown,PIN_G1,1,B1_N1,3.3-V LVTTL,,,,
OTG_DATA[11],Unknown,PIN_G2,1,B1_N1,3.3-V LVTTL,,,,
OTG_DATA[12],Unknown,PIN_G3,1,B1_N0,3.3-V LVTTL,,,,
OTG_DATA[13],Unknown,PIN_F1,1,B1_N1,3.3-V LVTTL,,,,
OTG_DATA[14],Unknown,PIN_F3,1,B1_N0,3.3-V LVTTL,,,,
OTG_DATA[15],Unknown,PIN_G4,1,B1_N0,3.3-V LVTTL,,,,
OTG_CS_N,Unknown,PIN_A3,8,B8_N2,3.3-V LVTTL,,,,
OTG_RD_N,Unknown,PIN_B3,8,B8_N2,3.3-V LVTTL,,,,
OTG_WR_N,Unknown,PIN_A4,8,B8_N2,3.3-V LVTTL,,,,
OTG_RST_N,Unknown,PIN_C5,8,B8_N2,3.3-V LVTTL,,,,
OTG_INT[0],Unknown,PIN_A6,8,B8_N1,3.3-V LVTTL,,,,
OTG_INT[1],Unknown,PIN_D5,8,B8_N2,3.3-V LVTTL,,,,
# OTG_DACK_N[0],Unknown,PIN_C4,8,B8_N2,3.3-V LVTTL,,,,
# OTG_DACK_N[1],Unknown,PIN_D4,8,B8_N2,3.3-V LVTTL,,,,
# OTG_DREQ[0],Unknown,PIN_J1,1,B1_N2,3.3-V LVTTL,,,,
# OTG_DREQ[1],Unknown,PIN_B4,8,B8_N2,3.3-V LVTTL,,,,
OTG_FSPEED,Unknown,PIN_C6,8,B8_N2,3.3-V LVTTL,,,,
OTG_LSPEED,Unknown,PIN_B6,8,B8_N1,3.3-V LVTTL,,,,
