To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
SRAM_ADDR[0],Unknown,PIN_AB7,3,B3_N1,3.3-V LVTTL,,,,
SRAM_ADDR[1],Unknown,PIN_AD7,3,B3_N2,3.3-V LVTTL,,,,
SRAM_ADDR[2],Unknown,PIN_AE7,3,B3_N1,3.3-V LVTTL,,,,
SRAM_ADDR[3],Unknown,PIN_AC7,3,B3_N2,3.3-V LVTTL,,,,
SRAM_ADDR[4],Unknown,PIN_AB6,2,B2_N2,3.3-V LVTTL,,,,
SRAM_ADDR[5],Unknown,PIN_AE6,3,B3_N2,3.3-V LVTTL,,,,
SRAM_ADDR[6],Unknown,PIN_AB5,2,B2_N2,3.3-V LVTTL,,,,
SRAM_ADDR[7],Unknown,PIN_AC5,2,B2_N2,3.3-V LVTTL,,,,
SRAM_ADDR[8],Unknown,PIN_AF5,3,B3_N2,3.3-V LVTTL,,,,
SRAM_ADDR[9],Unknown,PIN_T7,2,B2_N0,3.3-V LVTTL,,,,
SRAM_ADDR[10],Unknown,PIN_AF2,2,B2_N2,3.3-V LVTTL,,,,
SRAM_ADDR[11],Unknown,PIN_AD3,2,B2_N1,3.3-V LVTTL,,,,
SRAM_ADDR[12],Unknown,PIN_AB4,2,B2_N2,3.3-V LVTTL,,,,
SRAM_ADDR[13],Unknown,PIN_AC3,2,B2_N1,3.3-V LVTTL,,,,
SRAM_ADDR[14],Unknown,PIN_AA4,2,B2_N1,3.3-V LVTTL,,,,
SRAM_ADDR[15],Unknown,PIN_AB11,3,B3_N1,3.3-V LVTTL,,,,
SRAM_ADDR[16],Unknown,PIN_AC11,3,B3_N0,3.3-V LVTTL,,,,
SRAM_ADDR[17],Unknown,PIN_AB9,3,B3_N2,3.3-V LVTTL,,,,
SRAM_ADDR[18],Unknown,PIN_AB8,3,B3_N2,3.3-V LVTTL,,,,
SRAM_ADDR[19],Unknown,PIN_T8,2,B2_N1,3.3-V LVTTL,,,,
SRAM_DQ[0],Unknown,PIN_AH3,3,B3_N2,3.3-V LVTTL,,,,
SRAM_DQ[1],Unknown,PIN_AF4,3,B3_N2,3.3-V LVTTL,,,,
SRAM_DQ[2],Unknown,PIN_AG4,3,B3_N2,3.3-V LVTTL,,,,
SRAM_DQ[3],Unknown,PIN_AH4,3,B3_N2,3.3-V LVTTL,,,,
SRAM_DQ[4],Unknown,PIN_AF6,3,B3_N2,3.3-V LVTTL,,,,
SRAM_DQ[5],Unknown,PIN_AG6,3,B3_N2,3.3-V LVTTL,,,,
SRAM_DQ[6],Unknown,PIN_AH6,3,B3_N2,3.3-V LVTTL,,,,
SRAM_DQ[7],Unknown,PIN_AF7,3,B3_N1,3.3-V LVTTL,,,,
SRAM_DQ[8],Unknown,PIN_AD1,2,B2_N1,3.3-V LVTTL,,,,
SRAM_DQ[9],Unknown,PIN_AD2,2,B2_N1,3.3-V LVTTL,,,,
SRAM_DQ[10],Unknown,PIN_AE2,2,B2_N1,3.3-V LVTTL,,,,
SRAM_DQ[11],Unknown,PIN_AE1,2,B2_N1,3.3-V LVTTL,,,,
SRAM_DQ[12],Unknown,PIN_AE3,2,B2_N2,3.3-V LVTTL,,,,
SRAM_DQ[13],Unknown,PIN_AE4,3,B3_N2,3.3-V LVTTL,,,,
SRAM_DQ[14],Unknown,PIN_AF3,3,B3_N2,3.3-V LVTTL,,,,
SRAM_DQ[15],Unknown,PIN_AG3,3,B3_N2,3.3-V LVTTL,,,,
SRAM_OE_N,Unknown,PIN_AD5,3,B3_N2,3.3-V LVTTL,,,,
SRAM_WE_N,Unknown,PIN_AE8,3,B3_N1,3.3-V LVTTL,,,,
SRAM_CE_N,Unknown,PIN_AF8,3,B3_N1,3.3-V LVTTL,,,,
SRAM_LB_N,Unknown,PIN_AD4,3,B3_N2,3.3-V LVTTL,,,,
SRAM_UB_N,Unknown,PIN_AC4,2,B2_N2,3.3-V LVTTL,,,,
