To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
SW[0],Unknown,PIN_AB28,5,B5_N1,2.5 V,,,,
SW[1],Unknown,PIN_AC28,5,B5_N2,2.5 V,,,,
SW[2],Unknown,PIN_AC27,5,B5_N2,2.5 V,,,,
SW[3],Unknown,PIN_AD27,5,B5_N2,2.5 V,,,,
SW[4],Unknown,PIN_AB27,5,B5_N1,2.5 V,,,,
SW[5],Unknown,PIN_AC26,5,B5_N2,2.5 V,,,,
SW[6],Unknown,PIN_AD26,5,B5_N2,2.5 V,,,,
SW[7],Unknown,PIN_AB26,5,B5_N1,2.5 V,,,,
SW[8],Unknown,PIN_AC25,5,B5_N2,2.5 V,,,,
SW[9],Unknown,PIN_AB25,5,B5_N1,2.5 V,,,,
SW[10],Unknown,PIN_AC24,5,B5_N2,2.5 V,,,,
SW[11],Unknown,PIN_AB24,5,B5_N2,2.5 V,,,,
SW[12],Unknown,PIN_AB23,5,B5_N2,2.5 V,,,,
SW[13],Unknown,PIN_AA24,5,B5_N2,2.5 V,,,,
SW[14],Unknown,PIN_AA23,5,B5_N2,2.5 V,,,,
SW[15],Unknown,PIN_AA22,5,B5_N2,2.5 V,,,,
SW[16],Unknown,PIN_Y24,5,B5_N2,2.5 V,,,,
SW[17],Unknown,PIN_Y23,5,B5_N2,2.5 V,,,,
