To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
VGA_R[0],Unknown,PIN_E12,8,B8_N1,3.3-V LVTTL,,,,
VGA_R[1],Unknown,PIN_E11,8,B8_N1,3.3-V LVTTL,,,,
VGA_R[2],Unknown,PIN_D10,8,B8_N1,3.3-V LVTTL,,,,
VGA_R[3],Unknown,PIN_F12,8,B8_N1,3.3-V LVTTL,,,,
VGA_R[4],Unknown,PIN_G10,8,B8_N1,3.3-V LVTTL,,,,
VGA_R[5],Unknown,PIN_J12,8,B8_N0,3.3-V LVTTL,,,,
VGA_R[6],Unknown,PIN_H8,8,B8_N2,3.3-V LVTTL,,,,
VGA_R[7],Unknown,PIN_H10,8,B8_N1,3.3-V LVTTL,,,,
VGA_G[0],Unknown,PIN_G8,8,B8_N2,3.3-V LVTTL,,,,
VGA_G[1],Unknown,PIN_G11,8,B8_N1,3.3-V LVTTL,,,,
VGA_G[2],Unknown,PIN_F8,8,B8_N2,3.3-V LVTTL,,,,
VGA_G[3],Unknown,PIN_H12,8,B8_N1,3.3-V LVTTL,,,,
VGA_G[4],Unknown,PIN_C8,8,B8_N1,3.3-V LVTTL,,,,
VGA_G[5],Unknown,PIN_B8,8,B8_N1,3.3-V LVTTL,,,,
VGA_G[6],Unknown,PIN_F10,8,B8_N1,3.3-V LVTTL,,,,
VGA_G[7],Unknown,PIN_C9,8,B8_N1,3.3-V LVTTL,,,,
VGA_B[0],Unknown,PIN_B10,8,B8_N0,3.3-V LVTTL,,,,
VGA_B[1],Unknown,PIN_A10,8,B8_N0,3.3-V LVTTL,,,,
VGA_B[2],Unknown,PIN_C11,8,B8_N1,3.3-V LVTTL,,,,
VGA_B[3],Unknown,PIN_B11,8,B8_N0,3.3-V LVTTL,,,,
VGA_B[4],Unknown,PIN_A11,8,B8_N0,3.3-V LVTTL,,,,
VGA_B[5],Unknown,PIN_C12,8,B8_N0,3.3-V LVTTL,,,,
VGA_B[6],Unknown,PIN_D11,8,B8_N1,3.3-V LVTTL,,,,
VGA_B[7],Unknown,PIN_D12,8,B8_N0,3.3-V LVTTL,,,,
VGA_CLK,Unknown,PIN_A12,8,B8_N0,3.3-V LVTTL,,,,
VGA_BLANK_N,Unknown,PIN_F11,8,B8_N1,3.3-V LVTTL,,,,
VGA_HS,Unknown,PIN_G13,8,B8_N0,3.3-V LVTTL,,,,
VGA_VS,Unknown,PIN_C13,8,B8_N0,3.3-V LVTTL,,,,
VGA_SYNC_N,Unknown,PIN_C10,8,B8_N0,3.3-V LVTTL,,,,
